SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Golden West,,,Schooner,,,4/6/1856,1856,4,6,Townsends Inlet bar,,,Stranded,,,,,,,,,Boston/Newbury,"Philadelphia, PA",,,,,,,"Apples, fish",,N,N,Refloated,
Goldsboro,,Atlantic City Trans. Co,Steamship,1882,"Philadelphia, PA",5/12/1911,1911,5,12,Altlantic City E 1 mi,,,Stranded,,US,188.6,28,8.1,681,486.05,"Philadelphia, PA","New York, NY","Atlantic City, NJ",Pennington,14,,0,"$20,000","$8,000",General cargo,,N,N ,#85742; Refloated,
Gone Again,,Ronald Meelheim,Sport Fisher,1989,,7/17/2010,2010,7,17,Barnegat Inlet,,,Struck Buoy No 12,Fiberglass,US,32.7,12.2,6.1,16,13,"Waretown, NJ",,Fishing Service,,2,,0,,,,USCG Barnegat Light,Y,Y,#962809; Total loss,See scrapbooks 38 - 43 - Purple Misc
Good Times,,,Charter fishing boat,,,8/15/1984,1984,6,15,Garden State North Artificial Reef,,,Scuttled,Wood,US,52,,,,,NJ AR,GSN,,,,,,,,,,Y,Y,Broke up; No longer exists,
Gordon,,,Sloop,,,12/30/1814,1814,12,30,Barnegat Inlet North side,,,Stranded,,,,,,30,,"Patchogue, NY","Patchogue, NY",Virginia,Goodall,3,0,0,"$2,000",$200,,Barnegat #17,N,N,Refloated,
Gorredyk,,U S Shipping Board,Steamship,1902,,7/18/1918,1918,7,18,Cape May McCries Shoal ,,,Stranded,Steel,Netherlands,,,,6463,4154,,,,,,,,"$1,500,000","$2,000,000",Military Supplies,,,N,,
Governor Bull,,,Brig,,,5/4/1861,1861,5,4,Squan Inlet S 3 mi,39-59-24 N,74-03-30 W,Stranded,,,,,,,,,Cardaenas,"New York, NY",Arthur,10,,,,,Sugar,Chadwick #12,,N,,
Governor Coddington,,,,,,5/13/1839,1839,5,13,Island Beach,,,Stranded,,,,,,,,"Newport, RI","Marseilles, France","New York, NY",,,,0,,,,,Y,N,Total loss; crew saved,
Governor Foss,,Thomas Benham,Motor vessel,1911,"Essex, MA",4/2/1929,1929,4,2,"Cape May Harbor, NJ",,,Stranded,Wood,US,105.9,24.6,10.8,130,107,"Gloucester, MA",,,,15,,0,,,,,Y,N,#208640; Total Loss,
Governor Robie,,,Schooner - Barge,1883,"Bath, ME",11/28/1921,1921,11,28,Highlands Light NW,,,Foundered,Wood,US,224.1,41,23.8,1712,1481,"New York, NY","Hampton Roads, VA","Boston, MA",,3, ,3,,,Coal,,,N ,"#85770; Same tow w/ ""Carrie Clark""",
Grace,,,Schooner - Barge,1890,"Bath, ME",1/12/1922,1922,1,12,"Sea Girt, NJ",,,Foundered,,US,186.5,35.3,17.5,877,781,"Boston, MA","New York, NY","Boston, MA",,4,,0,,,Coal,,Y,N ,#86514; Total loss,
Grace A Martin,,,Schooner,,,1/24/1914,1914,1,24,"Highland Light, NJ",,,Foundered,,,,,,,,,,,,,,,,,Coal,,,N,,
Grace Cushing,,W S Jordan & Co,Schooner,1870,"Pittston, ME",8/18/1879,1879,8,18,Sandy Hook WNW,,,Damaged in hurricane,,,100,28,7,158,,Gardiner ME,"Point Wolf, NB, Canada","Philadelphia, PA",Mosher,,,,,,,,N,N,#85085; Partial loss,
Grace Darling,,,Schooner,,,1/5/1856,1856,1,5,"Long Branch, NJ",,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,5,,0,,,,,,N ,,
Grace K Green,,,Schooner,1884,"Portsmouth, NH",12/15/1896,1896,12,15,Deal Beach,,,Abandoned after collision,Wood,,140,34,12.2,405.63,385.35,"Portsmouth, NH","Philadelphia, PA","New Haven, CT",,8,,1,,,Coal,,Y,N ,#85835; Total loss,
Grace Van Dusen,,L Mathews,Schooner 3 masted,1874,"Millbridge, ME",3/4/1886,1886,3,4,Cape May,,,Damaged in Gale,,,136,33,10.4,303,,"Philadelphia, PA","Richmond, VA","New York, NY",Lee,,,,,,Pig Iron,,N,N,#85336,
Gra-Cee II,,Louis Puskas Jr,Fishing boat,1963,"West Creek, NJ",1972,1972,,,NJ coast E 50 mi,,,Burned; Sank,wood,US,43.8,14.2,5.1,23,17,"Philadelphia, PA","Barnegat Light, NJ","Barnegat Light, NJ",Louis Puskas Jr,2,,0,,,Fish,,Y,N,#290554; Total Loss,
Gra-Cee III,Eaglet,Louis Puskas Jr,Fishing boat,1970,"Warren, RI",3/12/1983,1983,3,12,Montauk Point S 65 mi,,,Foundered,Steel,US,58.3,17.3,6.8,45,39,"Philadelphia, PA","Barnegat Light, NJ","Barnegat Light, NJ",Louis Puskas Jr,5,,0,"$200,000",,Fish,,Y,N,#527435; Total loss,
Graf Waldersee,,U S Transport Service,Steamship,,,6/11/1919,1919,6,11,Ambrose Light SE 25 mi,,,"Collision w/ ""Redondo""",,US,560,62,41,13193,8375,,,,,,,,,,,,N,N,Saved,
"Graham, USS",DD-192,U S Navy,Destroyer,1918,"Newport News, VA",12/16/1921,1921,12,16,"Sea Girt, NJ",,,"Collision w/ ""Panama""",Steel,US,314.5,31.9,9.3,1190,,,,,,101,,0,,,,,N,N,Towed; Hull sold as scrap,
Grampus,,,Brig,,,4/12/1838,1868,4,12,Barnegat S 10 mi,,,Stranded,,,,,,,,,"New Orleans, LA",,,,,,,,,,Y,N,Total loss,
Grand Turk,,,Schooner,,,2/28/1853,1853,2,28,"Monmouth Beach, NJ",,,Grounded,,,,,,,,,"New Orleans, LA","New York, NY",,,,3,,,,,Y,N,Broke up,
Granite,,,Steamship,1904,,12/20/1913,1913,12,20,"Riverside, NJ",,,Burned,,US,,,,29,,,,,,4,,0,,,,,,N,#200763,
Grant,,,Schooner - Barge,1898,"Bath, ME",11/25/1901,1901,11,25,"Chadwick, NJ",,,Foundered,Wood,US,183.2,35.2,16.2,835,734,"Fall River, MA","Philadelphia, PA","Fall River, MA",,4,,4,,,Coal,Chadwick,Y,N,#86442; Total loss,
Grapeshot,,,Schooner,,,12/1/1869,1869,12,1,Sandy Hook,,,Grounded,,,,,,,,,"Baltimore, MD","New York, NY",Wordwell,,,,,,Corn,,Y,N,Total loss,
Gratitude,,,Pilot boat,,,7/1839,1839,7,,,,,Lost in hurricane,,,,,,,,,,,,10, ,10,,,,,Y,N,,
Great Isaac,,U S War Shipping Admin,Tug,1944,"East Boston, MA",4/16/1947,1947,4,16,Barnegat Light S 8 mi,39-31-30 N,73-56-36 W,"Collision w/ ""Bandierante""",Steel,US,185.5,37.6,17.8,1117,251,"Boston, MA","Norfolk, VA","New York, NY",Ernest McCreary,27,,0,,,"Towing Liberty ship ""Thomas M Cooley""",USCG Mohawk,Y,Y,#245575; Total loss,
Great Lakes No 78,,Great Lakes Dredge & Dock Co,Scow,1914,"Albany, NY",9/11/1937,1937,9,11,Scotland Lightship SE 4 mi,40-25-36 N,73-51-06 W,Foundered,Wood,US,156,40.8,13.5,681,,"Duluth, MN",,,,1,,0,,,,,Y,N,#165735; Total loss,
Great Lakes No 81,,Great Lakes Dredge & Dock Co,Barge,,,1/28/1936,1936,1,28,Sandy Hook E 4 mi,40-27-10 N,73-54-20 W,Sank,,,,,,,,,,,,,,,,,,,Y,N,Found while searching for other wreckage,
Grecian,,Photos only,,,,,,,,Unknown,,,Unknown,,,,,,,,,,,,,,,,,,,,Y,No info on an event. Just photos,
Green Bay,,Central Gulf SS Co,Freighter,,,6/24/1960,1960,6,24,Ambrose Channel,40-27.18 N,73-48.74 W,"Collision w/ ""WAL-505"" (Relief Lightship)",Steel,US,,,,,,,"Port Newark, NJ",East Africa,Thomas Mazzella,,,0,,,General,,N,N,Undamaged; Proceeded to dest,
Green Island,Muncie Victory; Norma Spruce; Black Dragon; Tappan Zee,Central Gulf SS Co,Freighter steam,1945,"Richmond, CA",7/7/1965,1965,7,7,Ambrose Light SSE 1 mi,,,"Collision w/ ""Tetela""",,US,439.1,62.1,34.5,7608,4561,"New Orleans, LA",,,,,,,,,,,N,N,#247079; Slight damage; Returned to NY,
Greenbury Holt,,,Schooner,,,3/14/1843,1843,3,14,,,,Lost in gale,,,,,,,,,"New York, NY","Wilmington, NC",Galino,,,,,,,,Y,N ,,
Greenleaf Johnson,,E H Weaver,Schooner 3 masted,1891,"Bridgeport, CT",11/17/1904,1904,11,17,"New London, CT",,,Scuttled due to fire,Wood,US,141.5,35,12.6,390,371,"New York, NY","New York, NY","Charleston, SC",Charles Woodruff,,,1,,,Fertilizer,,Y,N,#86133; Spontaneous combustion in cargo,
Greenmay,,,Schooner,,,3/1855,1855,3,,Barnegat,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,,,,N,,
Greensbury,,,Schooner,,,12/10/1840,1840,12,10,Little Egg Harbor Inlet,,,Foundered,,,,,,,,,,,,,,,,,Coal,,Y,N,Sank; Total loss,
Grenville Russell,,,Schooner,,,11/27/1894,1894,11,27,Sandy Hook,,,Stranded,,US,,,,,,,,,,,,,,,,Sandy Hook,Y,N,Ship lost; 6 people rescued,
Greyhound (1809),,,Sloop,,,12/1809,1809,12,,Cape May,,,Grounded,,,,,,,,,"Baltimore, MD",,,,,,,,,,Y,N,Total loss,
Greyhound (1812),,,Schooner,,,1812,1812,,,Barnegat Inlet,,,"Stranded, burned",,,,,,,,,,,Jesse Rogers,,,,,,,,Y,N,Set on fire while running from British,
Greyhound (1885),,M Cook,Schooner 2 masted,,,6/5/1885,1885,6,5,"Highland drawbridge, Shrewsbury River",,,Dismasted and grounded,,England,,,,50,,"St John, NB, Canada ","New York, NY",Red Bank,Harley,,,,,,,,,N ,#78948,
Grover Cleveland,Henry Clay,,Schooner,1846,"Lyme, CT",11/9/1900,1900,11,9,Sandy Hook Gov't Wharf,,,Foundered in gale,Wood,US,56.4,20.2,6.6,51,48,"Port Jefferson, NY",,,Chevalier,4,,0,$300,$2000    $1300 lost,Lumber,,Y,N,#11636; Bound to dock; broke up; sank,
Growler (1810 A),,,Brig,,,3/1810,1810,3,,Cape May Joe Flogger Shoal,,,Stranded,,,,,,,,,"Canton, China","Philadelphia, PA",Roberts,,,,,,,,N,N,Refloated,
Growler (1810 B),,,Brig,,,12/1810,1810,12,,Cape May Brandywine Shoal,,,Stranded,,,,,,,,,"Havana, Cuba","Philadelphia, PA",Robinson,,,,,,,,Y,N,Total loss,
Guadaloupe,,C H Mallory & Co,Steamship,1881,"Chester, PA",11/19/1884,1884,11,19,Barnegat Inlet North side,39-44-46 N,74-05-20 W,Stranded,,US,317.8,39.5,21.4,2839,,"New York, NY","New York, NY","Galveston, TX",Nickerson,40,107,0,"$325,000","$60,000",General merchandise,Barnegat #17 & Forked River #16,N,N,#85690; All saved,
Guatamazon,,,Ship,,,2/1810,1810,2,,Townsends Inlet,39-04-00 N,74-44-00 W,"Grounded, bilged",,England,,,,,,,"Canton, China","New York, NY",,,,,"$50,000",,Tea and silks,,Y,N,Total loss of ship & cargo,See scrapbooks 38 - 43 - Purple Misc
Guido's Tug,Georgia Moran,,Tug,,,3/26/2004,2004,3,26,Cape May Artificial Reef,38-51-456 N,74-42-016 W,Scuttled,Steel,US,110,,,,,NJ AR,CM,187,,,,,,,,,Y,Y,Sponsor - South Jersey Fishing Center,
Gulf Stream (1903),"Caroline, Victory; Queen",Clyde SS Co,Steamship,1861,,1/30/1903,1903,1,30,Hereford Inlet bar,,,Stranded in fog,Iron,US,218,30,13.1,998.42,708,"Philadelphia, PA","New York, NY","Philadelphia, PA",Jacob Swayne,21,,0,"$60,000","$80,000",General merchandise,Hereford Inlet,N,Y,#10523; Partial cargo loss,
GulfStream (1949),Cross Keys,Gulf Oil Corp,Tanker,1943,"Chester, PA",1/19/1949,1949,1,19,Cape May,,,"Collision w/ ""East Wind""",Steel,,504,68.2,39.2,10195,6107,"Philadelphia, PA","Philadelphia, PA",Persian Gulf,,,,,,,Empty,,N,N,#243852; Returned to port,
GulfTrade (1942),,Gulf Oil Corp,Tanker,1920,"Chester, PA",3/10/1943,1943,3,10,Barnegat Inlet SE 3.5 mi,39-43-54 N (B) 39-50-36 N (S),74-01-12 W (B) 73-49-30 W (S),Torpedoed by U-588,Steel,US,429.3,59.2,31.4,6676,4223,"Philadelphia, PA","Port Arthur, TX","New York, NY",Torger Olsen,35,,19,,,"12,000 tons of bunker C fuel oil",,Y,Y,#219453; 16 survivors,USCG Casualty report in file
GulfTrade (1953),Spottsylvania,Gulf Oil Corp,Tanker,1943,"Chester, PA",6/28/1953,1953,6,28,Barnegat Light SE 12 mi,,,"Collision w/ ""Loide Panama"" in fog",Steel,US,523.6,68.2,31.1,10529,6107,"Philadelphia, PA","Philadelphia, PA","Sea Warren, NJ",H C Kaiser,,,0,,,"100,000 bbls bunker C fuel oil",,N,Y,"#244689; Originally ""Spottsylvania""; Slight damage to bow",
Gulnare,,Robert Boyd,Steamship,1867,"Glasgow, Scotland",5/11/1883,1883,5,11,Long Beach LSS S 9.75 mi,,,Stranded,,England,125,16.1,11.2,144,,"Kingston, Jamaica","New York, NY","Port Antonio, Jamaica",Gunther,16,0,0,"$7,000",$0,None (in ballast),Long Beach #21,N,N,#57023; Refloated,See scrapbooks 38 - 43 - Purple Misc
Gus Grafus,Sonta,,Deck barge,,,6/2008,2008,6,,Axel Carlson Artificial Reef,40-02-970 N,73-59-372 W,Scuttled,Steel,US,100,50,,,,NJ AR,AXC,454,,,,,,,,,Y,Y,Sponsor - Larry Grafus & Mike Sonta,
Gustavus A Muller,,,Sloop,1901,"Atlantic City, NJ",5/25/1906,1906,5,25,Little Egg LSS S 1 mi,,,Adrift; Stranded,,US,44.5,16,5.6,21,14,"Tuckerton, NJ","Oyster Bay, NY","Tuckerton, NJ",Quinn,2,1,0,"$3,000",$300,Oysters,Little Egg,Y,N,#86602; Total loss,
Gwennie,,,Schooner - Barge,1902,"Bath, ME",1/24/1908,1908,1,24,Barnegat NE 25 mi,,,Foundered,,,217.6,35.3,18.4,1087,994,"Baltimore, MD",Corn Island,"New York, NY",,5,,5,,,,,,N,#86654,
Gypsie,,William Jex & Co.,Schooner,1870,"Brooklyn, NY",6/26/1884,1884,6,26,Barnegat,,,Damaged in gale,,England,,,,40,,Belize,Corn Island,"New York, NY",Gardner,,,,,,,,,N ,,
Gypsum King,,,Tug,1906,"Port Richmond, NY",2/23/1908,1908,2,23,Little Beach LBI SE 3.5 mi,,,Stranded w/ 2 barges,,US,151.9,29.6,18.2,581,331,"New York, NY","Norfolk, VA","New York, NY",,29,,0,"$220,000","$12,000",Coal,Little Beach & Little Egg,N,N,#203583; Refloated; Towing JB King #19 & #20,
Gypsum Prince,,Gypsum Packet Co,Freighter,1927,"Haverton, England",3/4/1942,1942,3,4,"Lewes, DE",38-42-23 N,75-04-12 W,"Collision w/ tanker ""VOCO""",Steel,England,347,52,23,3915,,"Middlesborough, England","Newfoundland, NS","Philadelphia, PA",Owen Jones,35,,5,,,,,Y,Y,Sank,
H & H Morse,,,Steamship,1887,,5/14/1905,1905,5,14,"Crossman Dock, Raritan River",,,Burned,,,,,,133,,,,,,4,,0,,,,,,N,#95909,
H & J Blenderman,,,Schooner,1879,"Port Jefferson, NY",8/10/1894,1894,8,10,Hereford Inlet bar,,,Stranded,,US,145.6,34,16.3,498,472.72,"New York, NY","Richmond, ME","Philadelphia, PA",McLean,7,,,"$7,500","$1,150",Ice,,,N ,#95579,
H A Weeks,,Godfrey et al,Schooner,1855,"Tuckahoe, NY",12/1868,1868,12,,Barnegat,,,Grounded,,,,,9,,141,"Philadelphia, PA",,,Hickman,,,,,,,,,N,,
H A Wise,,,Schooner,,,1838,1838,,,Absecon Beach,,,Stranded,,,,,,,,,,,,,,,,,,,Y,N,Total Loss,
H B Sichel,,,Sloop,1912,,7/9/1951,1951,7,9,"Port Reading, NJ",,,Burned,,,,,,133,,,,,,,,,,,,,,N,,
H B Thompson,,,Schooner,,,12/29/1866,1866,12,29,Sandy Hook,,,Foundered,Wood,US,,,,,,,,,,5,,0,,,,,,N,,
H C Slaight,,,Schooner,1867,,12/4/1886,1886,12,4,Navesink Highlands E 5 mi,,,,,US,,,,199.95,,"Tuckerton, NJ","West Point, VA","New York, NY",Thomas Blackman,6,0,0,"$4,000","$1,000",Pine wood,,,N ,#11271,
H D Havens,,,Schooner,,,3/29/1877,1877,3,29,Barnegat,,,"Collision w/ ""R C A Ward""",,,,,,,,,"Baltimore, MD","New York, NY",Pearce,,,,,,,,N,N ,Damaged,
H F Potter,,,Schooner,,,10/23/1878,1878,10,23,Hereford Shoal S 1 mi,,,Wrecked in hurricane,,US,,,,212,,"Middletown, CT","Fernandina, FL","New York, NY",Anderson,6,,2,"$12,000","$3,000",Pine Lumber,,,N ,,
H Hickman,,,Schooner,,,10/30/1875,1875,10,30,,,,Damaged in gale,,,,,,,,,"Boston, MA","Baltimore, MD",,,,,,,,,N,N,Lost sails & spar,
H J Branigan Jr,,,Motor vessel,1915,,11/10/1929,1929,11,10,"Secaucus, NJ",,,Burned,,,,,,38,,,,,,2,,0,,,,,,N,#213312,
H J Wheeler,,,Steamship,1919,,8/9/1949,1949,8,9,"Hoboken, NJ",,,Burned,,,,,,421,,,,,,,,,,,,,,N,,
H L James (1883),,,Schooner,1879,"Dorchester Cty, MD",12/11/1883,1883,12,11,Little Egg LSS E 1 mi,,,Grounded,,US,,,,115.51,109.73,"Baltimore, MD","Philadelphia, PA","Beach Haven, NJ",Applegate,6,,0,"$5,000","$2,100",Lumber,Little Egg #23,N,N,#95377; Refloated,
H L James (1884),,,Schooner,1879,"Dorchester Cty, MD",6/30/1884,1884,6,30,Sandy Hook N 1 mi,,,Grounded,,US,,,,115.51,109.73,"Baltimore, MD","New York, NY","Washington, DC",Applegate,6,,0,"$10,000","$2,000",Cement,Sandy Hook,N,N,#95377; Refloated,
H L Parnell,,,Barge,1912,,5/31/1941,1941,5,31,"Jersey City, NJ",,,Burned,,,,,,413,,,,,,,,,,,,,,N,"Also see ""Robert C Bonham"" & ""Kenny Girls""",
H L Routh,H L Reuth,J W Munn,Schooner - Barge,1874,"Brooklyn, NY",4/15/1898,1898,4,15,Absecon Light SE 15 mi,,,Foundered,Wood,US,167,36.6,22.5,1023.3,972.14,"Philadelphia, PA","Philadelphia, PA","Providence, RI",W E Baker,4,0,3,"$15,000","$3,500",Coal,,Y,N,#11841; Total loss,
H M Somers,,,Schooner,1866,"English Creek, NJ",9/20/1884,1884,9,20,Cape May LSS S 2.5 mi,,,Stranded,,US,51.3,19.3,5.3,31.23,29.67,"Somers Point, NJ","Philadelphia, PA","Egg Harbor, NJ",Albertson,3,0,0,"$2,500","$3,000",Cordage & lumber,Cape May,N,N,#11261; Refloated,
H S Bradley,,,Bark,,,12/23/1853,1853,12,23,Cape May Brandywine Shoal,,,Stranded & bilged,,,,,,,,,"New Orleans, LA","Philadelphia, PA",,,,,,,,,Y,N,Total loss,
H S Brooks,,,Schooner,,,1838 - 1878,1860,,,Squan Inlet S 2.5 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
H Springer,,,Schooner,,,9/15/1850,1850,9,15,Hereford Inlet bar,,,Stranded,,,,,,,,,"Philadelphia, PA",,,,,,,,,,Y,N,Total loss,
H W Godfrey,,,Schooner,1859,"Tuckahoe, NJ",10/7/1890,1890,10,7,Hereford Inlet South bar,,,Grounded,Wood,US,109,28.4,8.2,199.55,189.58,"New York, NY","James River, VA","New York, NY",Sharp,6,,0,"$4,000","$1,000",Wood,,Y,N,#11385; Total loss,
H W Long,,Photos only,,,,,,,,Unknown,,,Unknown,,,,,,,,,,,,,,,,,,,,Y,No info on an event. Just photos,
H W Race,,,Schooner,,,12/10/1878,1878,12,10,Atlantic City,,,Stranded,,US,,,,80,,,"Hampton Roads, VA","New York, NY",,,,1,,,Oysters,,N,N,Partial Loss,
Half Moon,,,Replica,,,8/2/1959,1959,8,2,Cape May,,,Broke from mooring; Drifting derelict,,US,,,,80,,,,,,,,,,,,USCG Cape May,N,N,Replica of Henry Hudson's ship - towed in,
Hamburg,,S H Talbot Bros,Schooner,1865,"East Machias, ME",12/11/1868,1868,12,11,"Cranberry Inlet, NJ",,,Stranded,,,,,9,220,,"East Machias, ME",,,Sprague,8,,,"$25,000",,,,N,N,Refloated,
Hamilton,,Norfolk Roanoke & Baltimore SS Co,Steamship,1884,"Wilmington, DE",6/13/1899,1899,6,13,Seabright E 3.5 mi,,,"Collision w/ ""Macedonia""",Wood,US,131.1,25.2,6.6,300,,"Edentown, NC","New York, NY","Norfolk, VA",Ira E Dole,,,0,,,,,N,N,#95829; Partial loss; Returned to NY,
Hamilton Fish,W M F Storer,,Schooner - Barge,1856,"Waldoboro, ME",3/6/1906,1906,3,6,Barnegat City (Light),,,Stranded/burned,Wood,US,200,40,19,1616,1507,"New York, NY","Norfolk, VA","Providence, RI",,3,0,0,,,Coal,,,N,"#26477; Formerly ""W M F Storer""",
Hammond,,P & R Transportation Line,Schooner - Barge,1895,"Noank, CT",4/12/1918,1918,4,12,"Holly Beach, NJ",,,Stranded,Wood,US,173.2,35,14.2,693,613,"Philadelphia, PA","Marblehead, MA","Philadelphia, PA",G H Redman,4,0,0,"$35,000",,None,,Y,N,#96319; Total loss,
Hampshire,,Westmoreland Coal Co,Schooner - Barge,1920,"Bath, ME",3/10/1918,1918,3,10,Five Fathoms Bank Lightship E 3.5 mi,38-49-11 N,74-31-20 W,Foundered in gale,Wood,US,185.5,35.3,16.4,830,735,"Philadelphia, PA","Hampton Roads, VA","Fall River, MA",Irving E Brown,4,0,4,"$50,000","$7,678",Coal,,,N,#96490,
Hand in Hand,,,Brig,,,10/1770,1770,10,,"Cranberry Inlet, NJ",,,Stranded,,,,,,,,,,,,,,,,,,,,N,Story of John Murray,
Hanna,,F Breda & Co,Ship,1872,"Shelbourne, NS",2/18/1879,1879,2,18,Long Branch N 1 mi,,,Grounded,,Norway,182.3,35.1,21.3,996,,"Christiana, Norway","London, England","New York, NY",H Lutken,17,0,0,"$39,000",,,Monmouth Beach #4,N,N,Refloated; Towed to NY,
Hannah (1817),,,Ship,,,4/19/1817,1817,4,19,"Toms River, NJ",,,Stranded,,,,,,,,,,"New York, NY",Askwith,,,,,,,,Y,N,Total loss,
Hannah (1864),,,Brig,,,3/30/1864,1864,3,30,Barnegat Light S 2 mi,,,Stranded,Wood,,,,,,,,"Nassau, Bahamas","New York, NY",Grant,11,,0,,,Circus Equipment Horses,,Y,Y,Total loss; Spaulding & Rogers Circus Co,
Hannah (1876),,,Bark,,,2/3/1876,1876,2,3,Cape May,,,Stranded in storm,Wood,US,,,,,,,,,,,,1,,,"Coal, oil",Cape May #39,,Y,,
Hannah Champion,,,Schooner,1866,"Tuckahoe, NJ",10/22/1887,1887,10,22,Absecon Inlet North shoal,,,Grounded,Wood,US,92.6,25.2,6.2,74.58,70.85,"Somers Point, NJ","New York, NY","Atlantic City, NJ",Vannaman,4,0,0,$500,$300,Bricks,Atlantic City,,N,#11263; Refloated,
Hannah F Baker,,J K Baker et al,Schooner,1867,"Kennebunkport, ME",3/26/1871,1871,3,26,Barnegat S 20 mi,,,Damaged in storm,,US,,,12,348,,"Dennis, NJ","New York, NY","Mobile, AL",,,,,,,,,N,N,Returned to New York,
Hannah Grant,,B & J Hale,Schooner,1847,"Newburyport, MA",4/3/1860,1860,4,3,Townsends Inlet,,,Stranded,,US,,,9.5,104,,"Newburyport, MA","Portland, ME","Philadelphia, PA",,,,,,,"Apples, fish",,N,N,Refloated,
Hannah M Buell (1881),,Philip Wheaton,Schooner,1873,"Camden, NJ",12/21/1881,1881,12,21,Absecon Inlet,,,"Collision w/ ""James Veldran""",Wood,US,,,,291.24,276.68,"Philadelphia, PA","Fall River, MA","Philadelphia, PA",Griffith Ireland,7,0,0,"$16,000",,None,,N,N,#95250; Repaired,
Hannah M Buell (1886),,Philip Wheaton,Schooner,1873,"Camden, NJ",10/17/1886,1886,10,17,Absecon Inlet,,,Grounded,Wood,US,,,,291.24,276.68,"Philadelphia, PA","Smithtown, ME","Atlantic City, NJ",Andrew Steelman,6,0,0,"$5,000","$2,000",455 ton Ice,Atlantic City,Y,N,#95250; Total loss,
Hannah Spaulding,,,Brig,,,3/28/1864,1864,3,28,Long Beach Island,,,Grounded,,,,,,,,,South America,"New York, NY",,,,,,,,,,N,,
Hannie Westbrook,,Yeaton & Hale,Schooner,1859,"Westbrook, ME",2/20/1877,1877,2,20,Stone Harbor LSS N .5 mi,,,Stranded,Wood,US,,,,139,,"Portland, ME","Baltimore, MD","Bucksport, ME",McDuffee,5,0,0,"$4,500","$3,800",Corn,Stone Harboe #35,Y,N,#18371; Total loss,
Hansa,,,Bark,,,12/3/1853,1853,12,3,Squan Beach,,,Stranded,,Germany,,,,,,"Bremen, Germany","Glasgow, Scotland","New York, NY",Brinkmann,,223,25,,,250 tons pig iron,,N,N,Refloated 12/12/1853,
Harbor,,,Steamship,1891,,8/30/1912,1912,8,30,"Maurice River, NJ",,,Burned,,,,,,50,,,,,,6,0,0,,,,,,N,#96127,
Harford,Breward,P Dougherty Co.,Barge,1921,"Portland, ME",1/14/1948,1948,1,14,Sandy Hook Light,,,Foundered,Wood,US,267.3,46,23.6,2240,2139,"Baltimore, MD",,,,,,,,,Coal,,Y,Y,"#221386; Total loss; AKA ""Breward""",
Harlequin,,,Sloop,,,4/3/1772,1772,4,3,Sandy Hook Point,,,Stranded,,,,,,,,,"Jamaica, WI","New York, NY",Bryson,,0,0,,,,,Y,N ,"#1531; Crew & some cargo saved, Ship lost",
Harnett,,,Merchantman,,,2/20/1809,1809,2,20,Sandy Hook,,,,Wood,US,,,,,,,"Jamaica, WI","New York, NY",Gardner,,,,,,,,Y,N,Total loss,
Harold,,,Scow,,,9/27/1903,1903,9,27,"Staten Sound off Sewaren, NJ",,,,,,,,,,,,,,,,,,,,Silver Ingots,,N,N,80% recovered,
Harold B Cousens (1903),,,Schooner,1882,"Boston, MA",1/12/1903,1903,1,12,Avalon LSS SE 1 mi,,,Stranded,,,139,34,11.6,379,360,"Portland, ME","Pensacola, FL","Boston, MA",Hart,7,0,0,"$8,000","$8,500",Lumber,Avalon,N,N,#95730; Refloated,
Harold B Cousens (1911),,,Schooner,1882,"Boston, MA",1/9/1911,1911,1,9,Barnegat Shoal,,,Grounded,,,139,34,11.6,379,360,"Portland, ME","St John, NF","Washington, DC",Hart,7,0,0,"$6,000","$10,000",Laths,"Barnegat, Loveladiews, Forked River",N,N,#95730; Refloated,
Harriet (1846),,,Brig,,,10/15/1846,1846,10,15,Cape May,,,Stranded,,,,,,,,,,,,,,,,,Logwood,,Y,N,Total Loss,
Harriet (1912),,,Steamship,1893,,8/24/1912,1912,8,24,"Kearny, NJ",,,Burned,,,,,,28,,,,,,3,,0,,,,,,N,#77080,
Harriet Elizabeth,,,Schooner,,,1/7/1847,1847,1,7,Absecon bar,,,Stranded,,,,,,,,,"Alexandria, VA","New York, NY",,,,,,,,,Y,N,Total loss,
Harriet Fuller,,,Schooner,,,4/19/1848,1848,4,19,Great Egg Harbor Inlet,,,,,,,,,,,,"Bristol, ME","Philadelphia, PA",,5,,,,,,,,N,,
Harriet G,,E Gorgoza's Sons,Brig Half,1878,"Norfolk, VA",10/22/1880,1880,10,22,Barnegat S 60 mi,,,Damaged in gale,,,130,28,10.5,247,,"New York, NY",,,,,,,,,,,N,N,#95504 Partial Loss,
